EMPNO FIRSTNME    LASTNAME       JOB     
000010CHRISTINE   HAAS           PRES    
000020MICHAEL     THOMPSON       MANAGER 
000030SALLY       KWAN           MANAGER 
000050JOHN        GEYER          MANAGER 
000060IRVING      STERN          MANAGER 
000070EVA         PULASKI        MANAGER 
000090EILEEN      HENDERSON      MANAGER 
000100THEODORE    SPENSER        MANAGER 
000110VINCENZO    LUCCHESSI      SALESREP
000120SEAN        O'CONNELL      CLERK   
000130DELORES     QUINTANA       ANALYST 
000140HEATHER     NICHOLLS       ANALYST 
000150BRUCE       ADAMSON        DESIGNER
000160ELIZABETH   PIANKA         DESIGNER
000170MASATOSHI   YOSHIMURA      DESIGNER
000180MARILYN     SCOUTTEN       DESIGNER
000190JAMES       WALKER         DESIGNER
000200DAVID       BROWN          DESIGNER
000210WILLIAM     JONES          DESIGNER
000220JENNIFER    LUTZ           DESIGNER
000230JAMES       JEFFERSON      CLERK   
000240SALVATORE   MARINO         CLERK   
000250DANIEL      SMITH          CLERK   
000260SYBIL       JOHNSON        CLERK   
000270MARIA       PEREZ          CLERK   
000280ETHEL       SCHNEIDER      OPERATOR
000290JOHN        PARKER         OPERATOR
000300PHILIP      SMITH          OPERATOR
000310MAUDE       SETRIGHT       OPERATOR
000320RAMLAL      MEHTA          FIELDREP
000330WING        LEE            FIELDREP
000340JASON       GOUNOT         FIELDREP
200010DIAN        HEMMINGER      SALESREP
200120GREG        ORLANDO        CLERK   
200140KIM         NATZ           ANALYST 
200170KIYOSHI     YAMAMOTO       DESIGNER
200220REBA        JOHN           DESIGNER
200240ROBERT      MONTEVERDE     CLERK   
200280EILEEN      SCHWARTZ       OPERATOR
200310MICHELLE    SPRINGER       OPERATOR
200330HELENA      WONG           FIELDREP
200340ROY         ALONZO         FIELDREP
